"order_type","product_id","name","product_created_at","year","avg_total_profit","order_count"
"only primary item","1","The Original Mr. Fuzzy","2012-03-19 08:00:00","2012","30.50","2408"
"only primary item","1","The Original Mr. Fuzzy","2012-03-19 08:00:00","2013","30.50","5854"
"only primary item","2","The Forever Love Bear","2013-01-06 13:00:00","2013","37.50","1294"
"only primary item","3","The Birthday Sugar Panda","2013-12-12 09:00:00","2013","31.50","129"
"only primary item","1","The Original Mr. Fuzzy","2012-03-19 08:00:00","2014","30.50","11477"
"only primary item","2","The Forever Love Bear","2013-01-06 13:00:00","2014","37.50","3139"
"only primary item","3","The Birthday Sugar Panda","2013-12-12 09:00:00","2014","31.50","3506"
"only primary item","4","The Hudson River Mini bear","2014-02-05 10:00:00","2014","20.50","3474"
"only primary item","1","The Original Mr. Fuzzy","2012-03-19 08:00:00","2015","30.50","3250"
"only primary item","2","The Forever Love Bear","2013-01-06 13:00:00","2015","37.50","1234"
"only primary item","3","The Birthday Sugar Panda","2013-12-12 09:00:00","2015","31.50","1049"
"only primary item","4","The Hudson River Mini bear","2014-02-05 10:00:00","2015","20.50","1480"
