"order_type","quarter","avg_total_profit","total_orders"
"only primary item","2012-01-01 00:00:00+02","30.50","59"
"only primary item","2012-04-01 00:00:00+02","30.50","330"
"only primary item","2012-07-01 00:00:00+02","30.50","627"
"only primary item","2012-10-01 00:00:00+02","30.50","1392"
"only primary item","2013-01-01 00:00:00+02","32.05","1208"
"only primary item","2013-04-01 00:00:00+02","31.61","1620"
"only primary item","2013-07-01 00:00:00+02","31.63","1742"
"Order with secondary item","2013-07-01 00:00:00+02","68.00","6"
"only primary item","2013-10-01 00:00:00+02","31.63","2397"
"Order with secondary item","2013-10-01 00:00:00+02","66.29","149"
"only primary item","2014-01-01 00:00:00+02","32.11","2210"
"Order with secondary item","2014-01-01 00:00:00+02","58.42","769"
"only primary item","2014-04-01 00:00:00+02","31.64","2488"
"Order with secondary item","2014-04-01 00:00:00+02","56.91","1262"
"only primary item","2014-07-01 00:00:00+02","31.57","2499"
"Order with secondary item","2014-07-01 00:00:00+02","56.59","1296"
"only primary item","2014-10-01 00:00:00+02","31.29","3841"
"Order with secondary item","2014-10-01 00:00:00+02","56.64","1952"
"only primary item","2015-01-01 00:00:00+02","30.94","3583"
"Order with secondary item","2015-01-01 00:00:00+02","57.10","1715"
