"orderid","profit","website_session_id","source","marketing_campaign","content","device"
"1","30.50","20","gsearch","nonbrand","g_ad_1","desktop"
"2","30.50","104","gsearch","nonbrand","g_ad_1","desktop"
"3","30.50","147","gsearch","nonbrand","g_ad_1","desktop"
"4","30.50","160","gsearch","nonbrand","g_ad_1","desktop"
"5","30.50","177","gsearch","nonbrand","g_ad_1","desktop"
"6","30.50","232","gsearch","nonbrand","g_ad_1","desktop"
"7","30.50","241","gsearch","nonbrand","g_ad_1","desktop"
"8","30.50","295","gsearch","nonbrand","g_ad_1","desktop"
"9","30.50","304","gsearch","nonbrand","g_ad_1","desktop"
"10","30.50","317","gsearch","nonbrand","g_ad_1","mobile"
"11","30.50","321","gsearch","nonbrand","g_ad_1","mobile"
"12","30.50","327","gsearch","nonbrand","g_ad_1","desktop"
"13","30.50","332","gsearch","nonbrand","g_ad_1","desktop"
"14","30.50","336","gsearch","nonbrand","g_ad_1","desktop"
"15","30.50","428","gsearch","nonbrand","g_ad_1","desktop"
"16","30.50","434","gsearch","nonbrand","g_ad_1","desktop"
"17","30.50","465","gsearch","nonbrand","g_ad_1","mobile"
"18","30.50","507","gsearch","nonbrand","g_ad_1","desktop"
"19","30.50","536","gsearch","nonbrand","g_ad_1","desktop"
"20","30.50","615","gsearch","nonbrand","g_ad_1","desktop"
"21","30.50","639","gsearch","nonbrand","g_ad_1","desktop"
"22","30.50","732","gsearch","nonbrand","g_ad_1","desktop"
"23","30.50","750","gsearch","nonbrand","g_ad_1","desktop"
"24","30.50","783","gsearch","nonbrand","g_ad_1","desktop"
"25","30.50","844","gsearch","nonbrand","g_ad_1","mobile"
"26","30.50","908","gsearch","nonbrand","g_ad_1","desktop"
"27","30.50","909","gsearch","nonbrand","g_ad_1","desktop"
"28","30.50","940","gsearch","nonbrand","g_ad_1","mobile"
"29","30.50","954","gsearch","nonbrand","g_ad_1","desktop"
"30","30.50","1018","gsearch","nonbrand","g_ad_1","desktop"
"31","30.50","1023","gsearch","nonbrand","g_ad_1","desktop"
"1388","30.50","36823","","","","desktop"
"32","30.50","1059","gsearch","nonbrand","g_ad_1","desktop"
"33","30.50","1081","gsearch","nonbrand","g_ad_1","mobile"
"34","30.50","1094","gsearch","nonbrand","g_ad_1","desktop"
"35","30.50","1098","gsearch","nonbrand","g_ad_1","desktop"
"36","30.50","1105","gsearch","nonbrand","g_ad_1","desktop"
"37","30.50","1107","gsearch","nonbrand","g_ad_1","desktop"
"38","30.50","1125","gsearch","nonbrand","g_ad_1","mobile"
"39","30.50","1243","gsearch","nonbrand","g_ad_1","desktop"
"40","30.50","1256","gsearch","nonbrand","g_ad_1","desktop"
"41","30.50","1330","gsearch","nonbrand","g_ad_1","desktop"
"42","30.50","1343","gsearch","nonbrand","g_ad_1","desktop"
"43","30.50","1419","gsearch","nonbrand","g_ad_1","mobile"
"44","30.50","1454","gsearch","nonbrand","g_ad_1","desktop"
"45","30.50","1463","gsearch","nonbrand","g_ad_1","mobile"
"46","30.50","1581","gsearch","nonbrand","g_ad_1","desktop"
"47","30.50","1605","gsearch","nonbrand","g_ad_1","desktop"
"48","30.50","1643","gsearch","nonbrand","g_ad_1","desktop"
"49","30.50","1646","gsearch","nonbrand","g_ad_1","desktop"
"50","30.50","1654","gsearch","nonbrand","g_ad_1","desktop"
"51","30.50","1685","gsearch","nonbrand","g_ad_1","desktop"
"52","30.50","1691","gsearch","nonbrand","g_ad_1","desktop"
"53","30.50","1709","gsearch","nonbrand","g_ad_1","desktop"
"54","30.50","1726","gsearch","nonbrand","g_ad_1","desktop"
"55","30.50","1729","gsearch","nonbrand","g_ad_1","mobile"
"56","30.50","1790","gsearch","nonbrand","g_ad_1","desktop"
"58","30.50","1807","gsearch","nonbrand","g_ad_1","desktop"
"59","30.50","1823","gsearch","nonbrand","g_ad_1","desktop"
"60","30.50","1863","gsearch","nonbrand","g_ad_1","desktop"
"61","30.50","1890","gsearch","nonbrand","g_ad_1","desktop"
"62","30.50","1912","gsearch","nonbrand","g_ad_1","desktop"
"63","30.50","1939","gsearch","nonbrand","g_ad_1","desktop"
"64","30.50","1944","gsearch","nonbrand","g_ad_1","desktop"
"65","30.50","2036","gsearch","nonbrand","g_ad_1","desktop"
"66","30.50","2089","gsearch","nonbrand","g_ad_1","desktop"
"67","30.50","2102","gsearch","nonbrand","g_ad_1","desktop"
"68","30.50","2115","gsearch","nonbrand","g_ad_1","desktop"
"69","30.50","2210","gsearch","nonbrand","g_ad_1","desktop"
"70","30.50","2231","gsearch","nonbrand","g_ad_1","desktop"
"72","30.50","2291","gsearch","nonbrand","g_ad_1","desktop"
"73","30.50","2295","gsearch","brand","g_ad_2","mobile"
"75","30.50","2392","gsearch","nonbrand","g_ad_1","mobile"
"76","30.50","2422","gsearch","nonbrand","g_ad_1","desktop"
"77","30.50","2431","gsearch","nonbrand","g_ad_1","desktop"
"78","30.50","2514","gsearch","nonbrand","g_ad_1","desktop"
"79","30.50","2522","gsearch","nonbrand","g_ad_1","desktop"
"80","30.50","2624","","","","mobile"
"81","30.50","2668","gsearch","nonbrand","g_ad_1","desktop"
"82","30.50","2770","gsearch","nonbrand","g_ad_1","mobile"
"83","30.50","2810","gsearch","nonbrand","g_ad_1","desktop"
"84","30.50","2879","gsearch","nonbrand","g_ad_1","desktop"
"85","30.50","2942","gsearch","nonbrand","g_ad_1","mobile"
"86","30.50","2982","gsearch","nonbrand","g_ad_1","desktop"
"87","30.50","3000","gsearch","nonbrand","g_ad_1","desktop"
"88","30.50","3040","gsearch","nonbrand","g_ad_1","desktop"
"89","30.50","3044","gsearch","nonbrand","g_ad_1","desktop"
"90","30.50","3077","gsearch","nonbrand","g_ad_1","desktop"
"91","30.50","3082","gsearch","nonbrand","g_ad_1","desktop"
"92","30.50","3137","gsearch","nonbrand","g_ad_1","desktop"
"93","30.50","3139","gsearch","nonbrand","g_ad_1","desktop"
"94","30.50","3147","gsearch","nonbrand","g_ad_1","desktop"
"96","30.50","3188","gsearch","nonbrand","g_ad_1","desktop"
"95","30.50","3189","gsearch","nonbrand","g_ad_1","desktop"
"97","30.50","3208","gsearch","nonbrand","g_ad_1","desktop"
"98","30.50","3247","gsearch","brand","g_ad_2","desktop"
"99","30.50","3295","gsearch","nonbrand","g_ad_1","desktop"
"100","30.50","3299","gsearch","nonbrand","g_ad_1","desktop"
"101","30.50","3318","gsearch","nonbrand","g_ad_1","desktop"
"102","30.50","3322","gsearch","nonbrand","g_ad_1","desktop"
"103","30.50","3421","gsearch","nonbrand","g_ad_1","desktop"
"104","30.50","3446","gsearch","nonbrand","g_ad_1","desktop"
"105","30.50","3496","gsearch","nonbrand","g_ad_1","desktop"
"106","30.50","3604","gsearch","nonbrand","g_ad_1","desktop"
"107","30.50","3618","gsearch","nonbrand","g_ad_1","desktop"
"108","30.50","3642","gsearch","nonbrand","g_ad_1","desktop"
"109","30.50","3683","gsearch","nonbrand","g_ad_1","desktop"
"110","30.50","3689","gsearch","nonbrand","g_ad_1","mobile"
"111","30.50","3746","gsearch","nonbrand","g_ad_1","desktop"
"112","30.50","3765","gsearch","nonbrand","g_ad_1","desktop"
"113","30.50","3789","gsearch","brand","g_ad_2","desktop"
"114","30.50","3807","gsearch","nonbrand","g_ad_1","desktop"
"115","30.50","3873","gsearch","nonbrand","g_ad_1","desktop"
